Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,,,Labels
72,Sanofi,46.1,6.6,132.4,131.6,France,Europe,48.8566,2.2252,,,"No.72.Sanofi S.A. is a French multinational pharmaceutical company headquartered in Paris, France, as of 2013 the world's fifth-largest by prescription sales. Originally, the company was established in 1973 and merged with Synthélabo in 1999 to form Sanofi-Synthélabo"
73,ConocoPhillips,58.4,8.4,117.1,72.1,USA,North America,29.7604,-95.3698,,,"No.73.ConocoPhillips is a multinational corporation engaged in hydrocarbon exploration. It is based in the Energy Corridor district of Houston, Texas. The company has operations in 17 countries and has production in the United States, Norway, Canada, Australia, Timor-Leste, Indonesia, Malaysia, Libya, China, and Qatar. "
74,EDF,95.9,4.4,325.2,35.3,France,Europe,51.3074,-0.1228,,,"No.74.EDF Energy is a British integrated energy company with operations spanning electricity generation and the sale of natural gas and electricity to homes and businesses throughout the United Kingdom. It employs 13,331 people, and handles 5.7 million customer accounts. Headquarters: London, United Kingdom. "
76,Anheuser-Busch InBev,39.8,7.2,122.6,153.5,Belgium,Europe,50.8798,4.7005,,,"No.76.Anheuser-Busch InBev SA/NV, commonly known as AB InBev, is a multinational drink and brewing company based in Leuven, Belgium. AB InBev has a global functional management office in New York City, and regional headquarters in São Paulo, London, St. Louis, Mexico City, Bremen, Johannesburg and other"
77,Intel,53.3,11,84.4,105.7,USA,North America,37.3541,-121.9552,,,"No.77.Intel Corporation is an American multinational corporation and technology company headquartered in Santa Clara, California, in Silicon Valley.."
78,Mizuho Financial,32.8,5.9,2005,53.7,Japan,Asia,35.694,139.7538,,,"No.78.Mizuho Financial Group, Inc., abbreviated as MHFG, or simply called Mizuho, is a banking holding company headquartered in the Ōtemachi district of Chiyoda, Tokyo, Japan. The name ""mizuho"" literally means ""abundant rice"" in Japanese and ""harvest"" in the figurative sense"
79,Coca-Cola,48,9,86.2,173.1,USA,North America,33.749,-84.388,,,"No.79.The Coca-Cola Company is an American multinational beverage corporation incorporated under Delaware's General Corporation Law and headquartered in Atlanta, Georgia. The Coca-Cola Company has interests in the manufacturing, retailing, and marketing of nonalcoholic beverage concentrates and syrups."
80,Cisco Systems,47.3,9.3,95.4,116.9,USA,North America,37.3382,-121.8863,,,"No.80.Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products."
81,Munich Re,88,4.2,340.6,34.9,Germany,Europe,48.1151,11.482,,,"No.81.Munich Re is a leading global provider of reinsurance, primary insurance and insurance-related risk solutions. Head Office Munich, Germany"
82,Merck & Co,47.3,6.2,106.1,133.3,USA,North America,40.0583,-74.4057,,,"No.82.Merck & Co., Inc., d.b.a. Merck Sharp & Dohme outside the United States and Canada, is an American multinational pharmaceutical company and one of the largest pharmaceutical companies in the world. Merck is incorporated in New Jersey."
83,Ping An Insurance Group,51.1,3.2,456.2,57,China,Asia,22.5431,114.0579,,,"No.83.Ping An Insurance known also as Ping An of China, full name Ping An Insurance Company of China, Ltd. is a Chinese holding conglomerate whose subsidiaries mainly deal with insurance, banking, and financial services. The company was founded in 1988 and is headquartered in Shenzhen."
84,Bank of Nova Scotia,27.6,6.4,737.2,70.6,Canada,North America,43.6532,-79.3382,,,"No.84.The Bank of Nova Scotia, operating as Scotiabank, is a Canadian multinational banking and financial services company headquartered in Toronto, Ontario. One of Canada's Big Five banks, it is the third largest Canadian bank by deposits and market capitalization."
85,Nissan Motor,113.7,4.1,133.4,43.4,Japan,Asia,35.4437,139.638,,,"No.85.The Nissan Motor Company, Ltd. is a Japanese multinational automobile manufacturer headquartered in Nishi-ku, Yokohama, Japan. The company sells its vehicles under the Nissan, Infiniti, and Datsun brands. The company traces its name to the Nissan zaibatsu, now called Nissan Group."
86,Honda Motor,96,2.6,140.9,72.4,Japan,Asia,35.6581,139.7515,,,"No.86.The Honda Motor Company, Ltd. is a Japanese public multinational conglomerate manufacturer of automobiles, motorcycles, and power equipment, headquartered in Minato, Tokyo, Japan."
87,Vale,45.7,4.8,130.4,92.7,Brazil,South America,-22.9068,-43.1829,,,"No.87.Vale S.A. is a Brazilian multinational corporation engaged in metals and mining and one of the largest logistics operators in Brazil. Vale, formerly Companhia Vale do Rio Doce, is the largest producer of iron ore and nickel in the world. Headquarters: Rio de Janeiro, State of Rio de Janeiro, Brazil"
88,PepsiCo,65.5,6.2,74.6,118.9,USA,North America,40.97,-73.7176,,,"No.88.PepsiCo, Inc. is an American multinational food, snack, and beverage corporation headquartered in Harrison, New York, in the hamlet of Purchase. PepsiCo has interests in the manufacturing, marketing, and distribution of grain-based snack foods, beverages, and other products."
89,Hyundai Motor,75,7.6,114.3,41.5,South Korea,Asia,37.5665,126.978,,,"No.89.The Hyundai Motor Company, commonly known as Hyundai, is a South Korean multinational automotive manufacturer headquartered in Seoul. Hyundai Motor Company was founded in 1967."
90,UnitedHealth Group,110.6,5.5,80.9,56.1,USA,North America,44.9212,-93.4687,,,"No.90.UnitedHealth Group Incorporated is an American for-profit managed health care company based in Minnetonka, Minnesota. It offers health care products and insurance services. In 2020, it was the second-largest healthcare company by revenue with $257.1 billion, and the largest insurance company by net premium"
91,BBVA-Banco Bilbao Vizcaya,52.1,2.2,840.8,54.7,Spain,Europe,43.263,-2.935,,,"No.91.Banco Bilbao Vizcaya Argentaria, S.A., better known by its initialism BBVA, is a Spanish multinational financial services company based in Madrid and Bilbao, Spain. It is one of the largest financial institutions in the world, and is present mainly in Spain, South America, North America, Turkey, and Romania"
92,United Technologies,57.7,5.1,89.4,85.5,USA,North America,41.736,-72.795,,,"No.92.United Technologies Corporation was an American multinational conglomerate headquartered in Farmington, Connecticut. It merged with the Raytheon Company in April 2020 to form Raytheon Technologies."
94,Saudi Basic Industries,50.4,6.6,90.2,74.8,Saudi Arabia,Asia,24.7136,46.6753,,,"No.94. Saudi Basic Industries Corporation, known as SABIC, is a Saudi Arabian multinational chemical manufacturing company, and a subsidiary of the state-owned petroleum and natural gas company Saudi Aramco. It is active in petrochemicals, chemicals, industrial polymers, fertilizers, and metals. Headquarters: Riyadh, Saudi Arabia"
95,GDF Suez,128,2,268.9,45,France,Europe,48.8897,2.2418,,,"No.95.Engie SA is a French multinational electric utility company, headquartered in La Défense, Courbevoie, which operates in the fields of energy transition, electricity generation and distribution, natural gas, nuclear, renewable energy and petroleum."
96,Boeing,81.7,3.9,88.9,65.4,USA,North America,41.8781,-87.6298,,,"No.96.The Boeing Company is an American multinational corporation that designs, manufactures, and sells airplanes, rotorcraft, rockets, satellites, telecommunications equipment, and missiles worldwide. The company also provides leasing and product support services.Headquarters: Chicago, Illinois, United States."
97,Caterpillar,65.9,5.7,89.4,58.2,USA,North America,42.1711,-87.8545,,,"No.97.Caterpillar Inc. is an American Fortune 100 corporation that designs, develops, engineers, manufactures, markets, and sells machinery, engines, financial products, and insurance to customers via a worldwide dealer network. It is the world's largest construction-equipment manufacturer. Headquarters: Deerfield, Illinois, United States."
98,Standard Chartered,26.9,4.9,636.5,64.4,UK,Europe,51.378051,-0.135973,,,"No.98.Standard Chartered plc is a British multinational banking and financial services company headquartered in London, England. It operates a network of more than 1,200 branches and outlets across more than 70 countries and employs around 87,000 people."
99,E.ON,174.2,2.9,184.9,32.5,Germany,Europe,51.4557,7.451526,,,"No.99.E.ON SE is a European electric utility company based in Essen, Germany. It runs one of the world's largest investor-owned electric utility service providers. The name comes from the Greek word aeon which means age."
100,Mexican Telecommuications,60.2,7.1,74.6,70.7,Mexico,North America,19.4326,-99.1332,,,No.100. Mexican Telecommunication Company based in Mexico City. 
